date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2025-07-31,sz.000901,13.0100,13.4900,12.9900,13.1300,13.0900,39539315,524029530.2500,3,4.953600,1,0.305600,0
2025-08-01,sz.000901,13.0600,13.1000,12.6800,12.8800,13.1300,31162915,400963598.5900,3,3.904200,1,-1.904000,0
2025-08-04,sz.000901,12.8000,13.3700,12.7500,13.3000,12.8800,36874725,486335379.3200,3,4.619800,1,3.260900,0
2025-08-05,sz.000901,13.5000,14.6300,13.4000,14.6300,13.3000,116348003,1671314009.7000,3,14.576400,1,10.000000,0
2025-08-06,sz.000901,14.9200,16.0900,14.9100,16.0900,14.6300,145495841,2262599911.7900,3,18.228100,1,9.979500,0
2025-08-07,sz.000901,16.2500,16.4100,15.3000,15.4100,16.0900,143275139,2233558822.0200,3,17.949900,1,-4.226200,0
