code,name,market,industry_em,营收_2026Q1,归母净利润_2026Q1,扣非归母_2026Q1,毛利率_2026Q1,营收_2025A,归母净利润_2025A,扣非归母_2025A,毛利率_2025A,营收_2024A,归母净利润_2024A,扣非归母_2024A,毛利率_2024A
300697,电工合金,SZ,工业金属,10.96,6240.41,6305.45,10.65%,31.98,1.66,1.69,10.79%,25.93,1.31,1.32,10.65%
301063,海锅股份,SZ,专用设备,3.89,656.15,648.41,14.03%,18.77,5120.17,5120.17,10.79%,13.36,3335.2,3335.2,9.62%
525,红太阳,SZ,农化制品,6.73,320.1,314.41,22.79%,30.8,-3.79,-3.87,10.78%,30.07,3.88,3.59,2.51%
970,中科三环,SZ,金属新材料,16.77,1639.58,2135.74,12.84%,66.41,9131.86,1.14,10.78%,67.51,1200.78,2295.37,10.69%
600742,富维股份,SH,汽车零部件,39.08,8199.27,1.25,10.70%,198.68,4.65,7.62,10.78%,196.36,5.09,7.49,10.86%
301,东方盛虹,SZ,炼化及贸易,320.22,14.32,14.48,18.92%,1255.87,1.34,1.19,10.77%,1376.75,-22.97,-22.84,8.43%
603348,文灿股份,SH,汽车零部件,13.12,-7977.58,-7977.58,7.39%,59.09,-3.48,-3.48,10.77%,62.47,1.15,1.15,12.66%
300088,长信科技,SZ,光学光电子,24.64,4791.95,5047.71,9.46%,115.73,2.04,2.41,10.76%,110.58,3.57,3.67,9.87%
2952,亚世光电,SZ,光学光电子,2.36,893.1,1009.28,17.85%,9.25,1068.31,968.59,10.75%,7.24,1679.9,1344.51,11.16%
2989,中天精装,SZ,装修装饰Ⅱ,4472.41,-896.26,-1151.75,10.76%,3.52,-1.66,-1.75,10.74%,3.62,-4.28,-4.29,0.65%
688203,海正生材,SH,塑料,2.68,104.59,104.59,10.59%,8.52,986.53,986.53,10.74%,8.45,3550.46,3550.46,12.52%
2036,联创电子,SZ,光学光电子,16.51,-9679.61,-1.13,11.14%,82.59,-10.11,-10.73,10.73%,102.12,-5.53,-6.21,9.19%
601607,上海医药,SH,医药商业,752.62,14.18,18.5,10.75%,2835.8,57.25,69.74,10.73%,2752.51,45.53,58.7,11.13%
601117,中国化学,SH,专业工程,459.31,15.67,16.44,9.36%,1895.01,64.36,70.77,10.71%,1858.44,56.88,62.42,10.11%
603618,杭电股份,SH,电网设备,22.02,8084.19,8113.19,12.29%,94.51,-2.99,-2.94,10.70%,88.51,1.38,1.44,12.03%
2060,广东建工,SZ,电力,139.6,1.12,1.25,7.86%,689.2,11.09,12.28,10.69%,683.15,11.68,12.76,10.63%
